X,Y,Z,T
1.06287384,0.03311348,0.1096077,0
1.04366302,0.04124833,0.09613991,0
1.0477066,0.04240227,0.04462242,0
1.06224823,0.123909,0.14678192,0.03125
1.01850128,0.05379105,0.10830307,0.03125
1.02218628,0.05483246,0.0615654,0.03125
1.03173065,0.13818741,0.12961006,0.03125
1.03607177,0.13962174,0.07646752,0.03125
0.98302459,0.0661335,0.14982033,0.03125
0.98693847,0.06723786,0.09994507,0.03125
1.06140899,0.2281704,0.16138077,0.03125
1.06583404,0.2298317,0.10975647,0.03125
1.01535034,0.15741921,0.15420532,0.03125
1.01946258,0.15878296,0.10435295,0.03125
0.97058105,0.08664704,0.12671662,0.03125
0.97402954,0.0876236,0.08326912,0.03125
0.92625427,0.01621819,0.09600258,0.03125
0.93005371,0.01709938,0.04611397,0.03125
1.04582977,0.2498169,0.15125275,0.0625
1.05042266,0.25154686,0.09814072,0.0625
1.00048065,0.1793232,0.13505173,0.0625
1.00518036,0.18088723,0.07863236,0.0625
0.9531784,0.1077137,0.13765907,0.0625
0.95718383,0.10885811,0.08764076,0.0625
0.90858459,0.03725052,0.11016846,0.0625
0.91268158,0.03820801,0.05699539,0.0625
1.06491088,0.33780289,0.17089081,0.0625
1.02141571,0.26797677,0.13329125,0.0625
1.02615356,0.26976777,0.07853699,0.0625
0.97320556,0.19596291,0.14583397,0.0625
0.97722625,0.19730378,0.09762955,0.0625
0.92935943,0.12574387,0.10963059,0.0625
0.93335723,0.12689209,0.05976296,0.0625
0.88251495,0.05416108,0.1056881,0.0625
0.885849,0.054945,0.06237793,0.0625
1.05083465,0.35619927,0.14530564,0.0625
1.05564117,0.35820198,0.09222031,0.0625
1.00371551,0.28453064,0.14552117,0.0625
1.00806427,0.28616715,0.0956974,0.0625
0.95807647,0.21380997,0.13269425,0.0625
0.96215057,0.21516419,0.08434105,0.0625
0.90991211,0.14189148,0.14629746,0.0625
0.91381836,0.14300728,0.09807396,0.0625
0.86548614,0.07144547,0.11785698,0.0625
0.86937713,0.07235909,0.06782532,0.0625
0.81906128,0,0.10973931,0.0625
0.82242584,0.00060654,0.06462288,0.0625
1.04022979,0.3780098,0.16342545,0.09375
1.04541015,0.3801651,0.10706711,0.09375
0.99525451,0.30728341,0.13982964,0.09375
0.99980926,0.30900002,0.08837128,0.09375
0.9504013,0.23688126,0.11750221,0.09375
0.95507812,0.23844147,0.06273651,0.09375
0.90209961,0.16496849,0.13205338,0.09375
0.90621185,0.16614914,0.0820446,0.09375
0.85787963,0.09459496,0.10053063,0.09375
0.86157226,0.09547425,0.05379105,0.09375
0.80891418,0.02266121,0.1247406,0.09375
0.81246185,0.02331162,0.07798577,0.09375
1.02207946,0.40090943,0.14558411,0.09375
1.02654266,0.40277672,0.09728241,0.09375
0.97776794,0.33073044,0.1179409,0.09375
0.98250579,0.33252526,0.06484413,0.09375
0.93025207,0.25890351,0.12207413,0.09375
0.93454742,0.26035119,0.07208824,0.09375
0.88430023,0.18797112,0.11150742,0.09375
0.8882904,0.1891346,0.06329537,0.09375
0.83564758,0.11595154,0.13067436,0.09375
0.83961486,0.11691094,0.08080101,0.09375
0.79029083,0.04519844,0.11302376,0.09375
0.79386139,0.04587174,0.06627274,0.09375
1.05321502,0.49053574,0.14034462,0.125
1.05847931,0.49292756,0.08566094,0.125
1.00619506,0.41920853,0.14214707,0.125
1.01098632,0.42120934,0.09071732,0.125
0.96161651,0.34842301,0.11320686,0.125
0.96609497,0.35011673,0.06339455,0.125
0.91262054,0.2764206,0.13778114,0.125
0.91723632,0.27797318,0.08451462,0.125
0.86637115,0.20503426,0.12758255,0.125
0.87067413,0.20628548,0.07608795,0.125
0.81967163,0.13392067,0.12687493,0.125
0.82354736,0.13485718,0.07864762,0.125
0.77268219,0.06236458,0.12602806,0.125
0.77577209,0.06294632,0.08600426,0.125
1.04666137,0.50668145,0.13826561,0.125
1.05216217,0.50914765,0.08195114,0.125
1.00034332,0.43524933,0.12861061,0.125
1.00597381,0.43757058,0.06898689,0.125
0.95377349,0.36403275,0.12470818,0.125
0.95848083,0.36578942,0.0731144,0.125
0.90840149,0.29287339,0.10394669,0.125
0.91278839,0.29432679,0.05411911,0.125
0.86093902,0.22141266,0.11058235,0.125
0.86545562,0.22270585,0.05745125,0.125
0.81379699,0.14969445,0.11020851,0.125
0.81813812,0.15072823,0.05705834,0.125
0.76722717,0.07857514,0.10723114,0.125
0.77114105,0.07930375,0.05735016,0.125
0.71981048,0.00690842,0.11128998,0.125
0.72308349,0.00733185,0.0678196,0.125
1.02511596,0.51896859,0.1362629,0.125
1.03063964,0.52142334,0.07994843,0.125
0.97767639,0.44744301,0.14156342,0.125
0.98318481,0.44968796,0.08358002,0.125
0.93251037,0.37646103,0.11941528,0.125
0.9373703,0.37825776,0.06632996,0.125
0.88645172,0.30547142,0.10988426,0.125
0.89044189,0.30677796,0.0648346,0.125
0.83724212,0.23316193,0.13334656,0.125
0.84122467,0.23428917,0.0866375,0.125
0.79199981,0.16243172,0.11464119,0.125
0.79650879,0.16349221,0.05970001,0.125
0.74564361,0.09095574,0.10475159,0.125
0.74906158,0.09157944,0.06144524,0.125
0.69992828,0.019907,0.08984757,0.125
0.70320892,0.0203228,0.04652786,0.125
1.04620361,0.59874535,0.16415596,0.15625
1.05175018,0.60137177,0.10951233,0.15625
1.00026703,0.52787781,0.15498352,0.15625
1.00582122,0.53031731,0.09852219,0.15625
0.95567321,0.45714951,0.12805176,0.15625
0.96073913,0.45918847,0.07484245,0.15625
0.9068222,0.38505364,0.14907456,0.15625
0.91170501,0.38682938,0.09598923,0.15625
0.86135101,0.31391335,0.13072205,0.15625
0.86564636,0.31529427,0.08238983,0.15625
0.81475067,0.24277306,0.12857056,0.15625
0.8190155,0.24395562,0.07872582,0.15625
0.76878357,0.17137337,0.11492348,0.15625
0.77222442,0.17216111,0.07312584,0.15625
0.72159576,0.10015488,0.120327,0.15625
0.72504425,0.10076333,0.07687378,0.15625
0.67531585,0.02866936,0.11035156,0.15625
0.67861175,0.02906609,0.06703377,0.15625
1.03813171,0.60671616,0.15548515,0.15625
1.04425048,0.60954857,0.09593201,0.15625
0.99221038,0.53570939,0.14553261,0.15625
0.99765777,0.53804207,0.09086418,0.15625
0.9454422,0.463974,0.14078522,0.15625
0.95056915,0.46598435,0.08758164,0.15625
0.90014648,0.39321137,0.12435532,0.15625
0.90465545,0.3948021,0.07604981,0.15625
0.85137939,0.32086754,0.14193726,0.15625
0.85572052,0.32221795,0.09375954,0.15625
0.80549621,0.24986458,0.13155365,0.15625
0.80953979,0.25094414,0.08499718,0.15625
0.76016998,0.1785431,0.11042023,0.15625
0.7638092,0.17933846,0.06698418,0.15625
0.71292877,0.10722924,0.11609841,0.15625
0.71643066,0.10781289,0.0726471,0.15625
0.66555786,0.03554535,0.12030029,0.15625
0.66853332,0.03587723,0.08176804,0.15625
1.0260849,0.61502457,0.14364433,0.15625
1.03125763,0.6173687,0.0937767,0.15625
0.97798919,0.54314232,0.15498924,0.15625
0.98299408,0.54524041,0.10524368,0.15625
0.93280792,0.47212601,0.13413811,0.15625
0.93766784,0.47398949,0.08421707,0.15625
0.88774109,0.40145493,0.11486054,0.15625
0.89227295,0.40301514,0.06670761,0.15625
0.83900451,0.32914353,0.13108063,0.15625
0.84325409,0.33042908,0.08439827,0.15625
0.7912445,0.25769043,0.14173317,0.15625
0.79505157,0.25867463,0.09831619,0.15625
0.74821472,0.1869545,0.09386444,0.15625
