X,Y,Z,T
1.50402069,1.45468139,0.21693802,0
1.35307598,1.46936035,0.22334671,0.03125
1.5190506,1.37963867,0.20651245,0.03125
1.21157837,1.47657775,0.22932053,0.03125
1.37174893,1.389328,0.23398209,0.03125
1.54136276,1.29806518,0.20082474,0.03125
1.06748676,1.48645019,0.26353455,0.03125
1.23781872,1.39515686,0.21919251,0.03125
1.40473747,1.30531311,0.18908692,0.03125
0.92271328,1.49993896,0.23256302,0.0625
1.08515263,1.41195678,0.22037888,0.0625
1.24585724,1.32435607,0.22832871,0.0625
1.40358544,1.23812866,0.24478531,0.0625
0.93837166,1.4316101,0.21082306,0.0625
1.10459423,1.34216308,0.18119431,0.0625
1.27092934,1.25234985,0.16216278,0.0625
1.420084,1.16958618,0.22486115,0.0625
0.79446793,1.45050048,0.20510483,0.09375
0.95354176,1.36366272,0.22066879,0.09375
1.11834717,1.27474975,0.19878388,0.09375
1.28940201,1.18304443,0.1553421,0.09375
1.43996143,1.09971618,0.2117157,0.09375
0.65120697,1.46691894,0.19190979,0.09375
0.80757809,1.3814392,0.21278763,0.09375
0.97491837,1.29136657,0.18313599,0.09375
1.13499451,1.20431518,0.18737793,0.09375
1.29745007,1.11604309,0.18925858,0.09375
0.49532223,1.49279785,0.18958283,0.09375
0.6549902,1.40594482,0.19864273,0.09375
0.81647873,1.31852722,0.19143677,0.09375
0.98273468,1.22891235,0.16905594,0.09375
1.14295673,1.14189147,0.17303467,0.09375
1.3055172,1.0536499,0.17510223,0.09375
1.46776199,0.96569824,0.17280197,0.09375
0.51160622,1.43106079,0.16025543,0.125
0.66623688,1.34616088,0.20067978,0.125
0.82992363,1.25787353,0.18328858,0.125
0.9925642,1.16973876,0.18157959,0.125
1.15257168,1.08280944,0.18862152,0.125
1.32134819,0.99206543,0.15937424,0.125
1.47271156,0.90858459,0.21362686,0.125
0.36960411,1.45483398,0.15366745,0.125
0.52639961,1.36930847,0.17157745,0.125
0.68701553,1.28204345,0.1772995,0.125
0.84662533,1.19534301,0.18204498,0.125
1.17721939,1.01699829,0.14446259,0.125
1.33973408,0.92874145,0.14818573,0.125
1.49800301,0.84240722,0.16701508,0.125
0.21263123,1.48619079,0.14258194,0.125
0.37132263,1.39971923,0.15736008,0.125
0.52798462,1.3142395,0.17614365,0.125
